,Country Name,Time,Country Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],Age dependency ratio (% of working-age population) [SP.POP.DPND],"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total) [SH.DTH.COMM.ZS]",Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",Fixed broadband subscriptions (per 100 people) [IT.NET.BBND.P2],Fixed telephone subscriptions (per 100 people) [IT.MLT.MAIN.P2],GDP per capita (constant 2010 US$) [NY.GDP.PCAP.KD],"GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]",Individuals using the Internet (% of population) [IT.NET.USER.ZS],Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],"People using at least basic drinking water services, rural (% of rural population) [SH.H2O.BASW.RU.ZS]","People using at least basic drinking water services, urban (% of urban population) [SH.H2O.BASW.UR.ZS]","People using at least basic sanitation services, urban (% of urban population) [SH.STA.BASS.UR.ZS]",Prevalence of anemia among children (% of children under 5) [SH.ANM.CHLD.ZS],Secure Internet servers (per 1 million people) [IT.NET.SECR.P6],"Self-employed, female (% of female employment) (modeled ILO estimate) [SL.EMP.SELF.FE.ZS]","Wage and salaried workers, female (% of female employment) (modeled ILO estimate) [SL.EMP.WORK.FE.ZS]",Life expectancy at birth (years)
103,Mali,2016,MLI,39.7546196,590.2129288,101.5171021,60.6,29.39470673,6.057,0.119362489,1.117768151,747.0916565,780,11.11218649,3.707661292,76.58434968,66.46226865,91.28163143,52.01060399,83.4,3.172760305,89.10900116,10.89099979,Low
104,Malta,2016,MLT,100,..,50.57288825,6.4,2328.236328,1.37,39.27176752,53.74217204,26645.85741,23590,78.0751488,0.0095468,99.99999822,100,100,99.95647482,13.3,3234.831648,6.150000095,93.84999847,High
114,Myanmar,2016,MMR,55.6,1089.92518,48.55047753,23.6,58.19331741,2.182,0.169074673,0.969710719,1403.767118,1200,25.07330424,0.532319253,80.84426367,75.8609365,92.42675193,76.38364622,52.9,20.49194776,63.63000107,36.36999893,Low
111,Montenegro,2016,MNE,100,6240.380466,48.09344874,1.4,..,1.73,18.30935619,23.59692251,7492.863436,7090,69.88164684,0.010229795,97.05335595,99.27843664,95.91428571,99.73706642,26.9,139.8032791,15.63099957,84.3690033,High
110,Mongolia,2016,MNG,84.32501221,2561.825802,50.0470069,9.7,163.4577332,2.923,7.399216847,7.371078837,3866.243973,3500,22.2657705,0.144637541,82.80057761,54.68999232,95.84932354,66.32877723,30.3,437.4486112,45.53300095,54.46699905,Medium
113,Mozambique,2016,MOZ,26.11211967,306.3724106,92.73513753,65.3,19.45346451,4.992,0.167441983,0.296159481,584.2111079,530,17.52123909,1.574026967,53.44393425,37.73902123,82.7052753,51.06813409,60.2,5.677338458,94.33699799,5.663000107,Low
105,Mauritania,2016,MRT,41.35232162,728.6442301,77.09321105,53.4,44.89452744,4.679,0.267585246,1.277544816,1322.238137,1150,18,3.689926241,68.83201784,48.2931894,87.81982103,71.61268252,67.9,3.362528083,69.43499756,30.56500053,Low
106,Mauritius,2016,MUS,97.97086334,7937.757818,41.53230052,6.5,553.0965576,1.4,16.84807804,30.86701034,9833.613132,10640,52.19132594,0.094394853,99.86639665,99.82768234,99.92231522,95.96853657,39.1,321.3365066,15.20899963,84.79100037,Medium
100,Malawi,2016,MWI,11,212.3253644,89.86509377,59.7,29.42624474,4.407,0.050519431,0.065293982,506.2496613,340,11.47,1.749094497,67.91184011,64.36486683,85.85385986,33.93290037,59.2,5.230949623,66.50900269,33.49100113,Low
101,Malaysia,2016,MYS,100,7530.937404,44.75839865,17.5,361.5219727,2.037,8.860455132,15.76423185,11243.99591,10150,78.78830993,0.063652659,96.72461587,89.63523626,99.10794929,99.86251011,30.8,945.6472331,26.54100037,73.45899963,High
115,Namibia,2016,NAM,50.90645599,4059.66666,68.2832905,49.3,414.4676819,3.496,2.728659855,7.966475604,6365.499832,4980,31.03334594,0.761841697,82.21805725,69.05423341,96.50116833,51.89228093,47.1,78.45495477,35.32099915,64.67900085,Low
120,Niger,2016,NER,18.89648247,293.1603863,111.6027273,62.7,22.68334007,7.087,0.03707285,0.773724388,389.9855591,370,4.32275803,3.947401943,49.50156237,42.62156027,84.85606151,42.82032011,77.3,0.240513683,97.74900055,2.250999928,Low
121,Nigeria,2016,NGA,59.3,1840.099129,88.15400476,62.7,79.36221313,5.526,0.058039826,0.083089266,2456.306188,2470,25.67,4.96568115,70.02552775,54.35264061,86.54639876,46.65399371,68.3,47.39721608,87.0490036,12.95100021,Low
119,Nicaragua,2016,NIC,85.21810913,1770.903577,55.73454562,10.9,188.4623718,2.455,2.808133409,5.815950383,1895.200159,2000,24.57183396,0.268941433,81.50474058,59.25142625,97.55976449,83.67279488,29.2,34.5813609,50.05799866,49.94200134,High
117,Netherlands,2016,NLD,100,37565.62864,53.72334894,5.2,4753.376953,1.66,42.53368191,39.8909506,52727.10248,46900,90.4109589,0.009194423,99.99999928,100,100,97.5,12.5,24130.79407,13.22200012,86.77799988,High
123,Norway,2016,NOR,100,58732.79454,52.42981178,7.3,7496.768555,1.71,40.12560396,15.37175471,90195.96368,81810,97.29820367,0.004419631,99.99999652,100,100,98,12.1,7003.508823,4.539999962,95.45999908,High
